"File","Line","ElementType","Pattern","CodeSnippet","Priority","SuggestedTestId"
"\Style\EditStyle\EditStyleShippingHandling.razor","20","HTML Button","<button","<ButtonGroup CSSClass=""otherInfoButton ms-2"" Name=""OtherInformation"" @ref=@otherInformation TValue=""int"" />","TBD",""
"\Style\EditStyle\EditStyleShippingHandling.razor","112","HTML Button","<button","<Button Name=""Close"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\EditStyle\EditStyleShippingHandling.razor","113","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","8","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","27","HTML Button","<button","<Button Name=""Insert"" Model=@InsertModel CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" @ref=@InsertModel.Reference />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","45","HTML Button","<button","<Button Name=""Update"" Model=@UpdateModel CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" @ref=@UpdateModel.Reference />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","56","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","70","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" @ref=@CloseModel.Reference />","TBD",""
"\Style\EditStyle\EditStyleTaxCategory.razor","71","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" @ref=@SaveModel.Reference />","TBD",""
"\Style\EditStyle\EditStyleVendorCostingRetailPricing.razor","18","HTML Button","<button","<ButtonGroup CSSClass=""otherInfoButton"" Name=""OtherInformation1"" @ref=@otherInformation1 TValue=""int"" />","TBD",""
"\Style\EditStyle\EditStyleVendorCostingRetailPricing.razor","165","HTML Button","<button","<Button Name=""Cancel"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Secondary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\EditStyle\EditStyleVendorCostingRetailPricing.razor","166","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleAdditionalStyleAttributes.razor","16","HTML Button","<button","<ButtonGroup CSSClass=""otherInfoButton"" Name=""OtherInformation"" @ref=@otherInformation1 TValue=""int"" />","TBD",""
"\Style\ViewStyle\ViewStyleAdditionalStyleAttributes.razor","137","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleAlternateHierarchy.razor","7","HTML Button","<button","<Button Name=""Back"" CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\Style\ViewStyle\ViewStyleAlternateHierarchy.razor","18","HTML Button","<button","<Button Name=""ShowFilter"" CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\Style\ViewStyle\ViewStyleAlternateHierarchy.razor","30","HTML Button","<button","<Button Name=""Close"" CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleCostExceptions.razor","10","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\Style\ViewStyle\ViewStyleCostExceptions.razor","24","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\Style\ViewStyle\ViewStyleCostExceptions.razor","36","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStylePriceHistory.razor","9","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\Style\ViewStyle\ViewStylePriceHistory.razor","20","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" />","TBD",""
"\Style\ViewStyle\ViewStylePriceHistory.razor","32","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleShippingHandling.razor","16","HTML Button","<button","<ButtonGroup Name=""OtherInformation"" CSSClass=""otherInfoButton"" @ref=@otherInformation1 TValue=""int"" />","TBD",""
"\Style\ViewStyle\ViewStyleShippingHandling.razor","103","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleStyle.razor","17","HTML Button","<button","<ButtonGroup Name=""OtherInformation"" CSSClass=""otherInfoButton"" @ref=@otherInformation1 TValue=""int"" />","TBD",""
"\Style\ViewStyle\ViewStyleStyle.razor","140","HTML Button","<button","<Button Name=""ShowFilterColors"" Model=@ShowFilterColorsModel @ref=@ShowFilterColorsModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" />","TBD",""
"\Style\ViewStyle\ViewStyleStyle.razor","262","HTML Button","<button","<Button Name=""ShowFilterPLUDescription"" Model=@ShowFilterPLUDescriptionModel @ref=@ShowFilterPLUDescriptionModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" />","TBD",""
"\Style\ViewStyle\ViewStyleStyle.razor","279","HTML Button","<button","<Button Name=""ShowFilterForeignDescription"" Model=@ShowFilterForeignDescriptionModel @ref=@ShowFilterForeignDescriptionModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" />","TBD",""
"\Style\ViewStyle\ViewStyleStyle.razor","291","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Style\ViewStyle\ViewStyleTaxCategory.razor","8","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\Style\ViewStyle\ViewStyleTaxCategory.razor","18","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" />","TBD",""
"\Style\ViewStyle\ViewStyleTaxCategory.razor","30","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\StyleVendorManagement.razor","12","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton pb-3"" />","TBD",""
"\StyleVendor\StyleVendorManagement.razor","21","HTML Button","<button","<Button Name=""ColumnsChooser"" Model=@ColumnsChooserModel @ref=@ColumnsChooserModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi bi-list-columns-reverse"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\StyleVendor\StyleVendorManagement.razor","22","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\StyleVendor\StyleVendorManagement.razor","29","HTML Button","<button","<Button Name=""CreateStyleVendor"" IconCssClass=""bi bi-plus-lg"" Model=@CreateStyleVendorModel @ref=@CreateStyleVendorModel.Reference RenderStyle=@ButtonRenderStyle.Primary SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\StyleVendorManagement.razor","41","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference RenderStyle=@ButtonRenderStyle.Primary SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorCosting.razor","9","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorCosting.razor","79","HTML Button","<button","<Button Name=""Cancel"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Secondary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorCosting.razor","80","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorCosting.razor","98","HTML Button","<button","<Button Name=""CreateAnotherPopupYes"" Model=@CreateAnotherPopupYesModel @ref=@CreateAnotherPopupYesModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorCosting.razor","99","HTML Button","<button","<Button Name=""CreateAnotherPopupNo"" Model=@CreateAnotherPopupNoModel @ref=@CreateAnotherPopupNoModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorPurchaseInfo.razor","9","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorPurchaseInfo.razor","137","HTML Button","<button","<Button Name=""Cancel"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorPurchaseInfo.razor","138","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorPurchaseInfo.razor","141","HTML Button","<button","<Button Name=""Next"" Model=@NextModel @ref=@NextModel.Reference IconCssClass=""bi bi-chevron-right"" IconPosition=""ButtonIconPosition.AfterText"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","10","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","22","HTML Button","<button","<Buttons>","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","68","HTML Button","<button","<Button Name=""Cancel"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","69","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","72","HTML Button","<button","<Button Name=""Next"" Model=@NextModel @ref=@NextModel.Reference IconCssClass=""bi bi-chevron-right"" IconPosition=""ButtonIconPosition.AfterText"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","84","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\StyleVendor\EditStyleVendor\EditStyleVendorSiteHierarchy.razor","92","HTML Button","<button","<Button Name=""StylePopupClose"" Model=@StylePopupCloseModel @ref=@StylePopupCloseModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" CssClass=""m-2"" SizeMode=""SizeMode.Large"" />","TBD",""
"\StyleVendor\ViewStyleVendor\ViewStyleVendor.razor","9","HTML Button","<button","<Button Name=""Back"" Model=@BackModel @ref=@BackModel.Reference CssClass=""bi bi-arrow-left backButton"" />","TBD",""
"\StyleVendor\ViewStyleVendor\ViewStyleVendor.razor","227","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Transfer\EditTransfer\TransferDetailsComponent.razor","13","HTML Button","<button","<Buttons>","TBD",""
"\Upload\ExcelUpload.razor","13","HTML Select","<select","<select id=""typeSelect"" class=""form-select"" @bind=""_viewModel.SelectedType"">","TBD",""
"\Upload\ExcelUpload.razor","23","HTML Input","<input","<input type=""file"" class=""form-control"" @onchange=""OnFileChange"" @ref=""fileInputRef"" />","TBD",""
"\Upload\ExcelUpload.razor","26","HTML Button","<button","@* <button class=""btn btn-secondary dxbl-btn-outlined"" type=""button"" @onclick=""OnValidateClicked"" disabled=""@(!_viewModel.NeedsValidation)"">Validate</button>","TBD",""
"\Upload\ExcelUpload.razor","27","HTML Button","<button","<button class=""btn btn-primary ms-2"" type=""button"" @onclick=""OnSubmitClicked"" disabled=""@(!_viewModel.IsValid)"">Submit</button> *@","TBD",""
"\Vendor\VendorManagement.razor","11","HTML Button","<button","<Button Name=""ColumnsChooser"" Model=@ColumnsChooserModel @ref=@ColumnsChooserModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi bi-list-columns-reverse"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\Vendor\VendorManagement.razor","12","HTML Button","<button","<Button Name=""ShowFilter"" Model=@ShowFilterModel @ref=@ShowFilterModel.Reference CssClass=""dxbl-btn-outlined filterbtn"" SizeMode=""SizeMode.Large"" IconCssClass=""bi-filter"" TooltipCssClass=""tooltipRight"" />","TBD",""
"\Vendor\VendorManagement.razor","18","HTML Button","<button","<Button Name=""CreateVendor"" IconCssClass=""bi bi-plus-lg"" Model=@CreateVendorModel @ref=@CreateVendorModel.Reference RenderStyle=@ButtonRenderStyle.Primary SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorAccounting.razor","132","HTML Button","<button","<Button Name=""Cancel"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorAccounting.razor","133","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorAccounting.razor","136","HTML Button","<button","<Button Name=""Next"" Model=@NextModel @ref=@NextModel.Reference IconCssClass=""bi bi-chevron-right"" IconPosition=""ButtonIconPosition.AfterText"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorInfo.razor","160","HTML Button","<button","<Button Name=""Cancel"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorInfo.razor","161","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorInfo.razor","164","HTML Button","<button","<Button Name=""Next"" Model=@NextModel @ref=@NextModel.Reference IconCssClass=""bi bi-chevron-right"" IconPosition=""ButtonIconPosition.AfterText"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorPurchasing.razor","81","HTML Button","<button","<Button Name=""Cancel"" Model=@CancelModel @ref=@CancelModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\EditVendor\EditVendorPurchasing.razor","82","HTML Button","<button","<Button Name=""Save"" Model=@SaveModel @ref=@SaveModel.Reference RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\ViewVendor\ViewVendorInfo.razor","267","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\ViewVendor\ViewVendorPoEdiDefaults.razor","283","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" />","TBD",""
"\Vendor\ViewVendor\ViewVendorSiteVendor.razor","97","HTML Button","<button","<Button Name=""Close"" Model=@CloseModel @ref=@CloseModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
"\Vendor\ViewVendor\ViewVendorStatistics.razor","85","HTML Button","<button","<Button Name=""CloseVendorStat"" Model=@CloseVendorStatModel @ref=@CloseVendorStatModel.Reference CssClass=""dxbl-btn-outlined"" RenderStyle=""ButtonRenderStyle.Primary"" SizeMode=""SizeMode.Large"" />","TBD",""
